"What is the closest planet to the Sun?","Venus","Mars","Mecury","Jupiter","D"
"What is the name of the 2nd biggest planet in our solar system?","Jupiter","Uranus","Saturn","Pluto","A"
"What is the hottest planet in our solar system?","Jupiter","Mars","Venus","Mercury","C"
"What planet is famous for its big red spot on it?","Mars","Jupiter","Earth","Saturn","B"
"What planet is famous for the beautiful rings that surround it?","Mars","Venus","Mercury","Saturn","D"
"Which planet can humans breathe normally?","Earth","Mars","Venus","Pluto","A"
"Is the sun","a star","a planet","a blackhole","a comet","A"
"Who was the first person to walk on the moon?","Neil Armstrong","John F Kennedy","Buzz Aldrin","Yuri Gagarin","A"
"What planet is known as the red planet?","Earth","Mercury","Saturn","Mars","D"
"What is the name of the force holding us to the Earth?","Gravity","Strong Nuclear Force","The force","Magic","A"
"Have human beings ever set foot on Mars?","Yes in 1970","Yes in 1980","Yes in 2000","No","D"
"What is the name of a place that uses telescopes and other scientific equipment to research space and astronomy?","A library","An obseratory","A post office","A police station","B"
"What is the name of NASA’s most famous space telescope?","Hubble","Bubble","Hupple","Bupple","A"
"Earth is located in which galaxy?","Andromeda","M37","M12","The milky way","D"
"What is the name of the first satellite sent into space?","Sputnik","Space Shuttle","Soyuz","Laika"
"Ganymede is a moon of which planet?","Mars","Jupiter","Saturn","Neptune"
"What is the name of Saturn’s largest moon?","Demos","Moon","Titan","Charon","C"
"Olympus Mons is a large volcanic mountain on which planet?","Venus","Earth","Mars","Mercury","C"
"When does the sun orbit the Earth?","Only on leap years","All the time","Never","Only at night","C"
"Which planet is bigger than Earth?,"Jupiter","Mars","Venus","Mecury","A"
